Location,Units,Site Normal Level,Standard Deviation,Mean,Max,Min
Aberdaron  ,µGy/h  ,0.10,0.01,0.10,0.13,0.08
Aberporth  ,µGy/h  ,0.12,0.01,0.12,0.15,0.10
Albemarle  ,µGy/h  ,0.11,0.01,0.11,0.14,0.09
Aldergrove (Belfast Airport)*  ,µGy/h  ,0.09,0.01,0.09,0.11,0.08
Alderney  ,µGy/h  ,0.12,0.01,0.12,0.15,0.10
Applecross  ,µGy/h  ,0.13,0.01,0.13,0.16,0.11
Aultbea  ,µGy/h  ,0.10,0.01,0.10,0.13,0.08
Aviemore  ,µGy/h  ,0.12,0.01,0.12,0.16,0.10
Ballypatrick Forest  ,µGy/h  ,0.10,0.01,0.09,0.11,0.07
Benbecula  ,µGy/h  ,0.08,0.01,0.09,0.11,0.07
Bishopton  ,µGy/h  ,0.10,0.01,0.10,0.13,0.08
Boscombe Down  ,µGy/h  ,0.10,0.01,0.10,0.13,0.08
Brize Norton  ,µGy/h  ,0.09,0.01,0.09,0.11,0.07
Brooms Barn  ,µGy/h  ,0.10,0.01,0.10,0.14,0.08
Camborne*  ,µGy/h  ,0.14,0.01,0.14,0.18,0.11
Cardington*  ,µGy/h  ,0.11,0.01,0.12,0.15,0.10
Carlisle  ,µGy/h  ,0.12,0.01,0.12,0.14,0.09
Carmoney  ,µGy/h  ,0.11,0.01,0.11,0.13,0.09
Charterhall  ,µGy/h  ,0.10,0.01,0.10,0.12,0.08
Clunie*  ,µGy/h  ,0.11,0.01,0.11,0.13,0.09
Coleshill  ,µGy/h  ,0.10,0.01,0.10,0.13,0.09
Coningsby  ,µGy/h  ,0.10,0.01,0.10,0.14,0.08
Cromer  ,µGy/h  ,0.10,0.00,0.10,0.12,0.08
Dalcross (Inverness Airport)*  ,µGy/h  ,0.14,0.01,0.13,0.16,0.10
Dyce (Aberdeen Airport)  ,µGy/h  ,0.13,0.01,0.12,0.14,0.10
East Malling  ,µGy/h  ,0.11,0.01,0.11,0.14,0.09
Enniskillen  ,µGy/h  ,0.11,0.01,0.11,0.13,0.09
Eskdalemuir  ,µGy/h  ,0.11,0.01,0.11,0.14,0.09
Exeter  ,µGy/h  ,0.15,0.01,0.15,0.19,0.13
Fylingdales  ,µGy/h  ,0.10,0.01,0.10,0.13,0.08
Glenanne  ,µGy/h  ,0.11,0.00,0.11,0.13,0.10
Guernsey  ,µGy/h  ,0.10,0.01,0.10,0.12,0.08
Heathrow  ,µGy/h  ,0.10,0.01,0.11,0.13,0.08
