Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Apr-19,-0.799302361,4.682104954,3.768837881,16.78886746,17.33397683,4.10467585,5.228571426,0.26770067,8.64196288,9.689274718,1.4557327,5.90649694,3.028504227,3.62743881,83.72484299,38.22659295,24.89120548,0.98630137,0.0
May-19,-0.00041649,4.844755061,3.971564414,15.84709582,0.368023236,4.940178943,2.415984044,0.147089854,7.363266359,10.98970279,1.51450896,6.70274245,1.655439496,3.593600498,64.35353544,36.73272839,25.72091233,1.019178082,0.0
Jun-19,2.161700314,4.636289996,4.652653851,43.25819281,0.142384265,1.109221359,1.351087146,0.714147144,7.61959487,10.29243617,1.43946411,6.08258236,2.307808879,3.23797422,89.00553749,34.05321869,24.89120548,0.98630137,0.0
Jul-19,-0.361219963,4.392274228,4.399289652,23.97946034,1.576607742,3.207615697,2.445267697,0.103470228,7.625239343,10.14302933,1.23849219,5.65550386,2.811667989,3.84607255,71.06277088,35.62080484,25.72091233,1.019178082,0.0
Aug-19,2.364457702,6.299960779,4.36504667,41.74072359,1.759033133,11.57870068,1.934083127,1.420734911,6.903874887,13.56108198,2.13445252,5.679899977,5.490698829,3.42107205,108.6538208,33.98003341,25.72091233,1.019178082,0.0
Sep-19,2.52478751,7.37330577,3.759612062,35.10699899,10.526843,8.777626608,2.911031176,2.030727987,8.227442964,15.93575075,1.49788392,5.844230348,2.901403989,3.58783412,111.0054792,34.87660055,24.89120548,0.98630137,0.0
Oct-19,7.408021949,7.602164291,6.285403428,47.38258212,18.26056439,8.554413169,1.221912447,0.304595177,8.418330053,15.12575155,1.40321489,5.540945482,2.827227061,3.62133706,133.9564631,41.64583326,25.72091233,-1.387649062,2.4
Nov-19,5.969088952,9.65637985,3.887436774,20.50400879,5.883672148,5.965766207,2.346262816,0.081643019,8.064109635,14.60384139,1.33819261,4.860643719,3.331186253,3.49084726,89.98307943,44.880098,24.89120548,-2.452023121,2.4
Dec-19,8.761933235,12.2065006,3.89480063,43.65926339,10.40037849,19.03023834,2.316092297,0.170087236,7.682110287,13.85667018,1.11941381,5.36542794,1.540043593,3.654373446,133.6573335,44.48154561,25.72091233,-2.533757225,2.4
Jan-20,8.833733035,8.49204686,4.125383456,33.00837573,22.70440624,36.37498869,2.114493257,0.429112719,7.315314392,13.83302516,1.20648735,4.86862663,1.509601756,3.742532965,148.5581282,45.07890281,25.72091233,-2.533757225,2.4
Feb-20,10.67661454,7.443089983,3.275467087,21.80163982,17.89889526,57.76836416,2.108020974,0.275789197,8.43764171,12.47085877,1.71421369,3.807055122,1.213807584,3.387194856,152.2786528,40.21178875,23.23179178,-2.288554913,0.0
Mar-20,4.158218521,5.536459263,5.296978598,35.54550921,22.28510381,16.33231211,0.294424267,0.334072005,8.873406312,11.49043919,1.35924928,4.50428247,5.53243177,3.35504515,124.897932,39.95575478,25.72091233,-2.533757225,0.0
