Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP
Apr-20,12.47490709,4.945659625,2.3629482,59.37209822,1.4916887,5.06824327,0.582595049,0.584283647,7.39378997,13.25974989,1.89991576,6.38621654,6.675571505,3.537115922,126.0347834,30.22879744,18.31068493,0.0,0.0
May-20,12.31863349,4.795097211,3.92269089,67.52262823,17.43287986,3.107817461,18.98023807,0.622402452,7.786018137,8.694498918,2.63415965,5.89255425,5.268276941,3.84692967,162.8248252,29.13981067,18.9210411,0.0,0.0
Jun-20,7.63347279,3.752765952,3.41306666,74.63017731,0.525368486,5.68175167,13.72338873,0.216292208,8.752224675,7.003456183,1.83438343,4.87565866,4.144453463,3.62355609,139.8100163,30.53097181,18.31068493,0.0,0.0
Jul-20,5.744413051,3.127988556,3.13976984,69.37954723,0.507914966,7.909918062,21.77115445,0.172425853,7.063122879,8.131339932,2.45797819,4.689352925,1.928469454,3.427589461,139.4509848,33.09527572,18.9210411,0.0,0.0
Aug-20,6.805479684,4.832442835,2.729741,41.86042167,0.602101152,13.11254771,22.37150674,0.502974483,8.454086369,7.212986196,1.89593922,4.558008225,2.694106961,3.328288,120.9606302,33.4138163,18.9210411,0.0,0.0
Sep-20,8.452984388,8.70791607,2.662405209,43.06871923,10.74321316,19.01864153,17.92286523,0.55154745,9.663712668,8.210317081,1.9374665,4.2023525,1.828069627,8.863820909,145.8340316,34.52607672,18.31068493,0.0,0.0
Oct-20,10.88096507,11.07172318,3.134693,59.51275747,7.950651424,17.2957812,0.93535839,0.516081836,9.209869133,12.64327847,1.5717264,4.54776026,3.087329711,7.575866364,149.9338419,39.56064793,18.9210411,0.0,0.0
Nov-20,7.678167698,13.76143275,3.796248365,119.9017266,0.862512539,15.8861971,2.094083415,0.350384557,10.52286218,14.42984839,1.61695359,5.41573366,1.054101628,7.929371769,205.2996243,39.91218329,18.31068493,0.0,0.0
Dec-20,12.32238814,17.96283464,4.097953998,60.63988621,17.32554227,13.18174357,1.40992015,0.275127782,10.98302503,15.64110988,1.47050375,5.94205745,1.040731868,4.465479399,166.7583041,44.55669877,18.9210411,0.0,0.0
Jan-21,6.526740521,50.29923771,3.017070424,32.75045475,1.346954089,6.481973433,0.48748071,0.046330544,11.35869792,15.05094428,1.19394905,5.39182329,3.207615824,8.038852427,145.198125,46.46314145,18.9210411,1.462264151,4.8
Feb-21,7.819502291,23.44043344,2.507507545,36.9335749,57.56762058,6.403935944,0.470374804,0.288600613,10.27070556,15.60042308,1.4420246,5.553678103,0.557115076,5.348951877,174.2044484,38.67514565,17.0899726,1.320754717,4.8
Mar-21,3.974026594,36.20222981,3.121038583,37.84969453,15.93370627,19.98589671,1.07159884,0.182274391,14.80121331,19.48507252,1.82039298,7.528654275,3.149142082,6.031135294,171.1360762,37.86750677,18.9210411,1.462264151,4.8
