Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP,CMP345/350 Deferred Costs
Sep-20,8.452984388,8.70791607,2.696115809,43.06871923,10.74321316,19.01864153,17.83542549,0.55154745,9.663712668,8.227887421,1.9374665,4.2023525,1.733710133,8.863820909,145.7035133,34.52607672,18.31068493,0.0,0.0,
Oct-20,10.88096507,11.07172318,3.27532864,59.52245754,7.950651424,17.28608113,0.93535839,0.516081836,9.209869133,12.64592688,1.5717264,4.54776026,2.981250329,7.575866364,149.9710466,39.56064793,18.9210411,0.0,0.0,
Nov-20,7.678167698,13.76143275,3.981077485,119.9017266,0.862512539,15.8861971,2.094083415,0.350384557,10.52286218,14.4340801,1.61695359,5.41573366,0.951447795,7.929371769,205.3860313,39.91218329,18.31068493,0.0,0.0,
Dec-20,12.32238814,17.96283464,4.309080728,61.27726612,17.32554227,12.54436366,1.40992015,0.275127782,10.98302503,15.64167468,1.47050375,5.94205745,0.934315507,4.465479399,166.8635793,44.55669877,18.9210411,0.0,0.0,
Jan-21,6.526740521,50.29923771,3.369871434,32.75045475,1.346954089,6.481973433,0.48748071,0.046330544,11.37309042,15.05916217,1.19394905,5.39182329,2.397030234,8.038852427,144.7629508,46.47979982,18.9210411,1.462264151,4.8,
Feb-21,7.819502291,23.44043344,2.717207505,36.9335749,57.56762058,6.403935944,0.470374804,0.288600613,10.27070556,15.28989612,1.4420246,5.560485303,0.286316567,5.35430902,173.8449872,38.6854839,17.0899726,1.320754717,4.8,
Mar-21,3.957081974,36.1608917,2.858551173,37.85227396,15.93370627,20.05442615,1.10013918,0.180738314,14.70265885,20.07198355,2.00483868,7.610700855,3.010353039,6.045879914,171.5442236,40.17071931,18.9210411,1.462264151,4.8,
Apr-21,5.93306632,22.70968126,4.30891213,36.63078143,1.470994947,5.697392191,1.263607869,0.340263061,17.15610495,20.40442835,1.37119799,7.48524469,0.730487562,3.701554024,129.2037168,40.83416866,23.26027397,0.0,1.67,1.745967616
May-21,15.17294249,13.60135163,3.646893151,51.302084,0.0,0.33857229,3.863225825,0.386066052,19.76579203,23.98428506,1.27276498,8.221874505,4.069325859,4.117616044,149.7427939,39.99475977,24.03561644,0.0,1.67,1.804166537
Jun-21,7.073617311,16.51811424,4.307902945,26.73801358,3.602531112,1.502864449,5.831013894,0.078633177,19.87501028,30.23699083,1.10623005,8.550532161,0.697395169,9.615623353,135.7344725,35.89618576,23.26027397,0.0,1.67,1.745967616
Jul-21,3.851872012,22.15711816,3.342038844,22.9887576,0.997458799,2.295923391,6.265597437,0.127871838,21.0072691,29.69485,0.9111367,10.20413949,1.575811196,2.621511035,128.0413556,37.17991527,24.03561644,0.0,1.67,1.804166537
