Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP,CMP345/350 Deferred Costs
Oct-20,10.88096507,11.07172318,3.27532864,59.52245754,7.950651424,17.28608113,0.93535839,0.516081836,9.209869133,12.64592688,1.5717264,4.54776026,2.981250329,7.575866364,149.9710466,39.56064793,18.9210411,0.0,0.0,
Nov-20,7.678167698,13.76143275,3.981077485,119.9017266,0.862512539,15.8861971,2.094083415,0.350384557,10.52286218,14.4340801,1.61695359,5.41573366,0.951447795,7.929371769,205.3860313,39.91218329,18.31068493,0.0,0.0,
Dec-20,12.32238814,17.96283464,4.309080728,61.27726612,17.32554227,12.54436366,1.40992015,0.275127782,10.98302503,15.64167468,1.47050375,5.94205745,0.934315507,4.465479399,166.8635793,44.55669877,18.9210411,0.0,0.0,
Jan-21,6.526740521,50.29923771,3.369871434,32.75045475,1.346954089,6.481973433,0.48748071,0.046330544,11.37309042,15.05916217,1.19394905,5.39182329,2.397030234,8.038852427,144.7629508,46.47979982,18.9210411,1.462264151,4.8,
Feb-21,7.819502291,23.44043344,2.717207505,36.9335749,57.56762058,6.403935944,0.470374804,0.288600613,10.27070556,15.28989612,1.4420246,5.560485303,0.286316567,5.35430902,173.8449872,38.6854839,17.0899726,1.320754717,4.8,
Mar-21,3.957081974,36.1608917,2.858551173,37.85227396,15.93370627,20.05442615,1.10013918,0.180738314,14.70265885,20.07198355,2.00483868,7.610700855,3.010353039,6.045879914,171.5442236,40.17071931,18.9210411,1.462264151,4.8,
Apr-21,5.93306632,22.70968126,4.30891213,36.92167055,1.470994947,5.697392191,1.263607869,0.340263061,17.15610495,20.40443954,1.37119799,7.48524469,0.849980192,3.702527704,129.6150834,40.83416866,23.26027397,0.0,1.67,1.745967616
May-21,14.95114786,13.66780302,3.647378141,52.02044544,0.0,0.33857229,3.863225825,0.364650353,19.64972491,23.94779875,1.27276498,8.221874505,5.351210483,4.116003644,151.4126002,39.99475977,24.03561644,0.0,1.67,1.804166537
Jun-21,7.073617311,16.74062665,4.307902945,27.81353785,3.602531112,1.502864449,5.831013894,0.078633177,19.87501028,30.23755134,1.10623005,8.550532161,1.177788659,9.615623353,137.5134632,35.89618576,23.26027397,0.0,1.67,1.745967616
Jul-21,3.851872012,22.29808201,3.349812444,23.12586433,0.997458799,2.295923391,6.265597437,0.127871838,21.10403297,30.55509459,0.90599878,10.20413949,2.004895376,2.642337362,129.7289808,37.17991548,24.03561644,0.0,1.67,1.804166537
Aug-21,16.50154733,28.82488092,3.108089378,40.45766494,2.381346506,0.718952204,11.6112965,0.89825367,16.8957488,38.15450687,1.23155974,11.24818913,4.220507812,5.914301219,182.166845,36.36267116,24.03561644,0.0,1.67,1.804166537
Sep-21,2.215438932,146.7930793,9.825619725,11.44874883,11.70475666,4.549186786,10.03823983,0.474908749,16.50075282,31.86333811,1.47894018,12.18895671,-27.73661185,2.91547415,234.2608289,37.83121735,23.26027397,0.0,1.67,1.745967616
Oct-21,9.123530594,40.37465056,6.047837696,69.95087018,18.17205914,13.30112802,0.16833648,1.985583245,15.60437926,29.16602112,1.143681123,7.462511274,2.832977603,3.759790141,219.0933564,40.7483452,24.03561644,5.777478229,1.67,1.804166537
Nov-21,12.83547689,26.08111165,7.428685335,82.12977415,11.469199,3.567115,0.0,0.502129387,19.25621699,27.93633286,0.916175573,7.16570812,1.55543253,3.828767123,204.6721246,48.75424973,23.26027397,5.591107964,1.67,1.745967616
Dec-21,13.15414978,29.11658178,7.470250666,70.15034872,10.426545,2.529869,0.0,0.467609764,20.23757826,28.63641264,0.882285583,7.783751642,2.032935002,3.832876712,196.7211946,49.68226405,24.03561644,5.777478229,1.67,1.804166537
Jan-22,13.94207978,31.3647856,7.574538827,46.33577372,8.914696,2.163038,0.0,0.643814364,20.49378882,28.43520927,0.851570155,7.720080224,0.460841963,3.836986301,172.737203,53.73228459,24.03561644,5.777478229,1.67,1.804166537
