Month,Energy Imbalance,Operating Reserve,STOR,Constraints - E&W,Constraints - Cheviot,Constraints - Scotland,Constraints - AS,Negative Reserve,Fast Reserve,Response,Other Reserve,Reactive,Minor Components,Black Start,Total,Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),ALoMCP,CMP345/350 Deferred Costs
Jun-20,7.63347279,3.752765952,3.48076105,74.63017731,0.525368486,5.68175167,13.72338873,0.216292208,8.752224675,7.003456183,1.83438343,4.87565866,4.04178891,3.62355609,139.7750461,30.53097181,18.31068493,0.0,0.0,
Jul-20,5.744413051,3.127988556,3.23014565,69.37954723,0.507914966,7.909918062,21.77115445,0.172425853,7.063947679,8.131339932,2.45797819,4.689352925,1.822390452,3.427589461,139.4361065,33.09527572,18.9210411,0.0,0.0,
Aug-20,6.805479684,4.832442835,2.77932893,41.86042167,0.602101152,13.11254771,22.37150674,0.502974483,8.471488769,7.212986196,1.89593922,4.558008225,2.588006579,3.328288,120.9215202,33.4138163,18.9210411,0.0,0.0,
Sep-20,8.452984388,8.70791607,2.696115809,43.06871923,10.74321316,19.01864153,17.83542549,0.55154745,9.663712668,8.227887421,1.9374665,4.2023525,1.733710133,8.863820909,145.7035133,34.52607672,18.31068493,0.0,0.0,
Oct-20,10.88096507,11.07172318,3.27532864,59.52245754,7.950651424,17.28608113,0.93535839,0.516081836,9.209869133,12.64592688,1.5717264,4.54776026,2.981250329,7.575866364,149.9710466,39.56064793,18.9210411,0.0,0.0,
Nov-20,7.678167698,13.76143275,3.981077485,119.9017266,0.862512539,15.8861971,2.094083415,0.350384557,10.52286218,14.4340801,1.61695359,5.41573366,0.951447795,7.929371769,205.3860313,39.91218329,18.31068493,0.0,0.0,
Dec-20,12.32238814,17.96283464,4.309080728,61.27726612,17.32554227,12.54436366,1.40992015,0.275127782,10.98302503,15.64167468,1.47050375,5.94205745,0.934315507,4.465479399,166.8635793,44.55669877,18.9210411,0.0,0.0,
Jan-21,6.526740521,50.29923771,3.369871434,32.75045475,1.346954089,6.481973433,0.48748071,0.046330544,11.37309042,15.05916217,1.19394905,5.39182329,2.397030234,8.038852427,144.7629508,46.46314145,18.9210411,1.462264151,4.8,
Feb-21,7.819502291,23.44043344,2.717207505,36.9335749,57.56762058,6.403935944,0.470374804,0.288600613,10.27070556,15.28989612,1.4420246,5.560485303,0.286316567,5.35430902,173.8449872,38.67514565,17.0899726,1.320754717,4.8,
Mar-21,3.957081974,36.1608917,2.858551173,37.85227396,15.93370627,20.05442615,1.10013918,0.180738314,14.70265885,20.07198355,2.00483868,7.610700855,3.010353039,6.045879914,171.5442236,40.17071888,18.9210411,1.462264151,4.8,
